name_zh,name,year,produce_area,type,language,language_print,update,score,video_size,file_size,time,director,down_url
军人的妻子/军嫂/女声我最美(台) ,Military Wives/The Singing Club ,2019 ,英国 ,剧情/喜剧 ,英语 ,中英双字幕 ,2019-09-06(多伦多电影节) / 2020-03-06(英国) ,6.3/10 from 136 users ,1920 x 1080 ,2 GB ,110分钟 ,彼得·卡坦纽 Peter Cattaneo ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4026/阳光电影www.ygdy8.com.军人的妻子.BD.1080p.中英双字幕.mkv
杀死本·莱克 ,Kill Ben Lyk ,2019 ,英国 ,喜剧/惊悚 ,英语 ,中英双字幕 ,2019-03-06(英国) ,4.9/10 from 109 users ,1920 x 1080 ,1.42 GB ,77分钟 ,Erwan Marinopoulos ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4027/阳光电影www.ygdy8.com.杀死本·莱克.BD.1080p.中英双字幕.mkv
毒战 ,Shooting Heroin ,2020 ,美国 ,剧情/动作/惊悚 ,英语 ,中英双字幕 ,2020-04-03(美国) ,5.2/10 from 143 users ,1920 x 1080 , GB ,77分钟 ,Spencer T. Folmar ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3027/阳光电影www.ygdy8.com.毒战.BD.1080p.中英双字幕.mkv
叶问4：完结篇/Ip M4n/Ip Man 4/Yip Man 4/Yip Man 4：The Finale/叶问4 ,葉問4 ,2019 ,中国香港 ,剧情/动作 ,国语/粤语 ,中文 ,2019-12-20(中国大陆) ,"7.2/10 from 117,155 users ",1920 x 1080 ,1.9 GB ,107分钟 ,叶伟信 Wilson Yip ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4025/阳光电影www.ygdy8.com.叶问4：完结篇.BD.1080p.国粤双语中字.mkv
节奏组/复仇谜奏 ,The Rhythm Section ,2020 ,英国 ,动作 / 悬疑 / 惊悚 ,英语 ,中英双字幕 ,2020-01-31(英国) ,5.0/10 from 498 users ,1920 x 1080 ,1.9 GB ,109分钟 ,瑞德·穆拉诺 Reed Morano ,ftp://ygdy8:ygdy8@yg39.dydytt.net:3024/阳光电影www.ygdy8.com.节奏组.BD.1080p.中英双字幕.mkv
Ash is Purest White/Money & Love ,江湖儿女/灰烬是最洁白的/金钱与爱情 ,2018 ,中国/法国/日本 ,剧情/爱情/犯罪 ,普通话/山西方言/湖北方言/重庆方言 ,中文 ,2018-05-11(戛纳电影节)/2018-09-21(中国) ,7.6/10 from 171424 users ,1920 x 1080 ,1CD ,137分钟(中国大陆) ,贾樟柯 Zhangke Jia ,ftp://ygdy8:ygdy8@yg39.dydytt.net:8013/阳光电影www.ygdy8.com.江湖儿女.BD.1080p.国语中字.mkv
等待安雅/安雅的回家路(台) ,Waiting for Anya ,2019 ,英国 ,剧情/战争 ,英语 ,中英双字幕 ,2020-02-14(英国) ,6.8/10 from 182 users ,1920 x 1080 ,1CD ,109分钟 ,Ben Cookson ,ftp://ygdy8:ygdy8@yg18.dydytt.net:7017/阳光电影www.ygdy8.com.等待安雅.BD.1080p.中英双字幕.mkv
倾听男人心/偷听男人心/女人百分百(台) ,What Men Want ,2019 ,美国 ,喜剧 / 爱情 / 奇幻 ,英语 ,中英双字幕 ,2019-02-08(美国) ,"5.8/10 from 1,574 users ",1920 x 1080 ,2 GB ,117分钟 ,亚当·山克曼 Adam Shankman ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4024/阳光电影www.ygdy8.com.倾听男人心.BD.1080p.中英双字幕.mkv
SkyFire ,天·火/天火/天火危情 ,2019 ,中国大陆 ,动作 / 冒险 / 灾难 ,"汉语普通话,英语 ",中英双字幕 ,2019-12-12(中国大陆) ,"4.5/10 from 13,342 users ",1920 x 1080 ,1.5 GB ,97分钟 ,西蒙·韦斯特 Simon West ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8066/阳光电影www.ygdy8.com.天·火.HD.1080p.国语中英双字.mkv
琼斯先生/加雷斯·琼斯/雪地里的真相(台) ,Mr. Jones/Gareth Jones ,2019 ,"波兰,英国,乌克兰 ",剧情 / 惊悚 / 传记 ,"英语,乌克兰语,俄语,威尔士语 ",中英双字幕 ,2019-02-10(柏林电影节) / 2019-10-25(波兰) ,7.4/10 from 753 users ,1920 x 1080 ,2.14 GB ,119分钟 ,阿格涅丝卡·霍兰 Agnieszka Holland ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3026/阳光电影www.ygdy8.com.琼斯先生.BD.1080p.中英双字幕.mkv
Long Day's Journey Into Night ,地球最后的夜晚 ,2018 ,中国/法国 ,剧情/爱情/悬疑 ,贵州方言/普通话 ,中文 ,2018-05-15(戛纳电影节)/2018-12-31(中国) ,"6.8/10 from 176,613 users ",1920 x 1040 ,1CD ,140分钟 ,毕赣 Bi Gan ,ftp://ygdy8:ygdy8@yg39.dydytt.net:7013/阳光电影www.ygdy8.com.地球最后的夜晚.BD.1080p.国语中字.mkv
衣橱 / 凶柜(港) / 壁橱 / 阴橱(台) ,The Closet ,2020 ,韩国 ,恐怖/惊悚 ,韩语 ,中文 ,2020-02-05(韩国) ,5.5/10 from 3027 users ,1920 x 1080 ,1.77 GB ,140分钟 ,金光彬 Kwang-bin Kim ,ftp://ygdy8:ygdy8@yg90.dydytt.net:7066/阳光电影www.ygdy8.com.衣橱.BD.1080p.韩语中字.mkv
梦幻岛/谜·离岛(港)/逃出梦幻岛(台) ,Fantasy Island ,2020 ,美国 ,惊悚/恐怖/冒险/奇幻/悬疑 ,英语 ,中英双字幕 ,2020-02-14(美国) ,5.2/10 from 832 users ,1920 x 1080 ,2 GB ,110分钟 ,杰夫·瓦德洛 Jeff Wadlow ,ftp://ygdy8:ygdy8@yg39.dydytt.net:3023/阳光电影www.ygdy8.com.梦幻岛.BD.1080p.中英双字幕.mkv
拧紧/凶宅疑童(港)/碧庐冤孽/螺丝在拧紧/豪门怨灵(台)/转向 ,The Turning ,2020 ,"英国,爱尔兰,加拿大,美国 ",剧情 / 恐怖 ,英语 ,中英双字幕 ,2020-01-24(美国) ,4.4/10 from 522 users ,1920 x 1080 ,1.7 GB ,94分钟 ,弗洛莉娅·塞吉斯蒙迪 Floria Sigismondi ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4023/阳光电影www.ygdy8.com.拧紧.BD.1080p.中英双字幕.mkv
克利夫顿山失踪案 ,Clifton Hill/Disappearance at Clifton Hill ,2019 ,加拿大 ,剧情 / 悬疑 / 惊悚 ,英语 ,中英双字幕 ,2019-09-05(多伦多电影节) / 2020-02-28(美国) ,5.2/10 from 152 users ,1920 x 1080 ,1.78 GB ,101分钟 ,Albert Shin ,ftp://ygdy8:ygdy8@yg39.dydytt.net:3022/阳光电影www.ygdy8.com.克利夫顿山失踪案.BD.1080p.中英双字幕.mkv
米奇和熊 ,Mickey and the Bear ,2019 ,美国 ,剧情 ,英语 ,中英双字幕 ,2019-03-09(西南偏南电影节) / 2019-11-13(美国) ,6.1/10 from 154 users ,1920 x 1080 ,1.49 GB ,88分钟 ,安娜贝尔·艾塔娜斯奥 Annabelle Attanasio ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3025/阳光电影www.ygdy8.com.米奇和熊.BD.1080p.中英双字幕.mkv
悲惨世界 ,Les misérables ,2019 ,法国 ,剧情 ,法语 ,中文 ,2019-05-15(戛纳电影节) / 2019-11-20(法国) ,"8.2/10 from 16,663 users ",1920 x 1080 ,1.84 GB ,103分钟 ,拉德·利 Ladj Ly ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4026/阳光电影www.ygdy8.com.悲惨世界.BD.1080p.法语中字.mkv
真人快打传奇：蝎子的复仇 / 真人快打：魔蝎的复仇（台） ,Mortal Kombat Legends: Scorpions Revenge ,2020 ,美国 ,动作 / 动画 / 冒险 ,英语 ,中英双字幕 ,2020-04-12(美国) ,7.3/10 from 269 users ,1920 x 1080 ,1 GB ,80分钟 ,伊桑·斯波尔丁 Ethan Spaulding ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4022/阳光电影www.ygdy8.com.真人快打传奇：蝎子的复仇.BD.1080p.中英双字幕.mkv
我的间谍/半职业特工队(港)/间谍速成班(台) ,My Spy ,2020 ,美国 ,喜剧/动作 ,英语 ,中英双字幕 ,2020-04-01(中国台湾) / 2020-04-17(美国) ,6.0/10 from 691 users ,1920 x 1080 ,1.79 GB ,100分钟 ,彼得·西格尔 Peter Segal ,ftp://ygdy8:ygdy8@yg18.dydytt.net:7016/阳光电影www.ygdy8.com.我的间谍.BD.1080p.中英双字幕.mkv
从不，很少，有时，总是/从不、很少、有时、总是/绝不、很少、有时、总是 ,Never Rarely Sometimes Always ,2020 ,美国 ,剧情 ,英语 ,中英双字幕 ,2020-01-24(圣丹斯电影节) / 2020-02-25(柏林电影节) / 2020-03-13(美国) ,"7.6/10 from 9,655 users ",1920 x 1080 ,1.78 GB ,101分钟 ,伊丽莎·希特曼 Eliza Hittman ,ftp://ygdy8:ygdy8@yg39.dydytt.net:3021/阳光电影www.ygdy8.com.从不，很少，有时，总是.BD.1080p.中英双字幕.mkv
不要相信任何人 ,Trust No 1 ,2019 ,美国 ,动作 ,英语 ,中英双字幕 ,2019-04-05(美国) ,"7.6/10 from 9,655 users ",1920 x 1080 ,1.73 GB ,90分钟 ,Daron Niemerow ,ftp://ygdy8:ygdy8@yg18.dydytt.net:8016/阳光电影www.ygdy8.com.不要相信任何人.BD.1080p.中英双字幕.mkv
刺肤 ,Knives and Skin ,2019 ,美国 ,剧情 ,英语 ,中英双字幕 ,2019-12-06(美国) ,"7.6/10 from 9,655 users ",1920 x 1080 ,1.94 GB ,111分钟 ,珍妮弗·里德 Jennifer Reeder ,ftp://ygdy8:ygdy8@yg90.dydytt.net:6013/阳光电影www.ygdy8.com.刺肤.BD.1080p.中英双字幕.mkv
绝地战警：疾速追击/绝地战警3/绝地战警FOR LIFE(台)/重案梦幻再重组(港) ,Bad Boys for Life/Bad Boys 3 ,2020 ,美国 ,喜剧 / 动作 / 犯罪 ,英语 ,中英双字幕 ,2020(中国大陆) / 2020-01-17(美国) ,"6.3/10 from 7,302 users ",1920 x 1080 ,2.19 GB ,124分钟 ,阿迪尔·埃尔·阿比 Adil El Arbi ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4025/阳光电影www.ygdy8.com.绝地战警：疾速追击.BD.1080p.中英双字幕.mkv
姐妹老板 / 有限合伙人 / 波士鬥腦細(港) ,Like a Boss / Limited Partners ,2020 ,美国 ,喜剧 ,英语 ,中英双字幕 ,2020-01-10(美国) ,5.0/10 from 93 users ,1920 x 1080 , GB ,83分钟 ,米盖尔·阿尔特塔 Miguel Arteta ,ftp://ygdy8:ygdy8@yg18.dydytt.net:8015/阳光电影www.ygdy8.com.姐妹老板.BD.1080p.中英双字幕.mkv
回到中国 ,Go Back to China ,2019 ,美国 / 中国大陆 ,剧情 ,英语 / 汉语普通话 ,中英双字幕 ,2019-03-09(西南偏南电影节) ,5.0/10 from 93 users ,1920 x 1080 , GB ,95分钟 ,丁怡瑱 Emily Ting ,ftp://ygdy8:ygdy8@yg18.dydytt.net:7015/阳光电影www.ygdy8.com.回到中国.BD.1080p.中英双字幕.mkv
绅士们/绅士追杀令(台)/布什/有钱人/灌木/疯狂绅士帮(港)/纨绔子弟/绅士 ,The Gentlemen/Bush/Toff Guys ,2020 ,美国 ,动作 / 犯罪 ,英语 ,中英双字幕 ,2020-01-24(美国) ,"8.4/10 from 49,125 users ",1920 x 1080 ,2 GB ,113分钟 ,盖·里奇 Guy Ritchie ,ftp://ygdy8:ygdy8@yg39.dydytt.net:3020/阳光电影www.ygdy8.com.绅士们.BD.1080p.中英双字幕.mkv
1/2的魔法/½的魔法/二分之一的魔法/勇往直前/向前/觅法奇程/魔法环游记 ,Onward ,2020 ,美国 ,喜剧 / 动画 / 奇幻 / 冒险 ,英语 ,中英双字幕 ,2020-02-21(柏林电影节) / 2020-03-06(美国) ,"7.9/10 from 13,839 users ",1920 x 1080 ,1.52 GB ,102分钟 ,丹·斯坎隆 Dan Scanlon ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8065/阳光电影www.ygdy8.com.二分之一的魔法.BD.1080p.中英双字幕.mkv
超级青春期 ,Big Time Adolescence ,2019 ,美国 ,喜剧 ,英语 ,中英双字幕 ,2019-01-28(圣丹斯电影节) ,6.2/10 from 221 users ,1920 x 1080 , GB ,90分钟 ,杰森·奥利 Jason Orley ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3024/阳光电影www.ygdy8.com.超级青春期.BD.1080p.中英双字幕.mkv
绝命47小时 ,47 Hours / 47 Hours to Live ,2019 ,加拿大 ,惊悚/恐怖 ,英语 ,中英双字幕 ,2019-10-04(加拿大) ,4.2/10 from 183 users ,1920 x 1080 , GB ,91分钟 ,帕特里克·约翰森 Patrick Johnson ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4021/阳光电影www.ygdy8.com.绝命47小时.BD.1080p.中英双字幕.mkv
茜宝/四面受敌/反击恶势力 ,Seberg/Against All Enemies ,2019 ,美国/英国 ,剧情/惊悚/传记 ,英语 ,中英双字幕 ,2019-08-30(威尼斯电影节)/2019-12-13(美国) ,6.0/10 from 602 users ,1920 x 1080 , GB ,102分钟 ,本尼迪克特·安德鲁斯 Benedict Andrews ,ftp://ygdy8:ygdy8@yg39.dydytt.net:3019/阳光电影www.ygdy8.com.茜宝.BD.1080p.中英双字幕.mkv
缅因姐妹/把那个人击倒 ,Blow the Man Down ,2019 ,美国 ,剧情/喜剧/悬疑 ,英语 ,中英双字幕 ,2019-04-26(翠贝卡电影节) / 2020-03-20(美国) ,6.1/10 from 188 users ,1920 x 1080 ,1.61 GB ,90分钟 ,Bridget Savage Cole / Danielle Krudy ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3023/阳光电影www.ygdy8.com.缅因姐妹.BD.1080p.中英双字幕.mkv
黎明 ,The Dawn ,2020 ,美国 ,惊悚 / 恐怖 ,英语 ,中英双字幕 ,2019-04-26(翠贝卡电影节) / 2020-03-20(美国) ,6.1/10 from 188 users ,1920 x 1080 ,1.5 GB ,90分钟 ,布兰登·萨拉格尔 Brandon Slagle ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4019/阳光电影www.ygdy8.com.黎明.BD.1080p.中英双字幕.mkv
未成年 / 再见，未成年(台) ,Another Child ,2019 ,韩国 ,剧情 ,韩语 ,中文 ,2019-04-11(韩国) ,7.1/10 from 1591 users ,1920 x 1080 ,1.76 GB ,96分钟 ,金允石 Yoon-suk Kim ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4024/阳光电影www.ygdy8.com.未成年.BD.1080p.韩语中字.mkv
连锁反应/换命锁链/換命鎖鏈(台) ,The Chain ,2019,美国/西班牙 ,惊悚/悬疑 ,英语 ,中文 ,2019-05-15(西班牙) ,5.2/10 from 107 users ,1920 x 1080 , GB ,101分钟 ,David Martín Porras ,ftp://ygdy8:ygdy8@yg90.dydytt.net:7065/阳光电影www.ygdy8.com.连锁反应.BD.1080p.英语中字.mkv
始动/启动/青春催落去(台) ,Start-up ,2019 ,韩国 ,剧情 / 喜剧 ,韩语 ,中文 ,2019-12-18(韩国) ,"6.5/10 from 3,704 users ",1920 x 1080 ,1.8 GB ,101分钟 ,崔正烈 Jeong-Yeol Choi ,ftp://ygdy8:ygdy8@yg18.dydytt.net:5007/阳光电影www.ygdy8.com.始动.BD.1080p.韩语中字.mkv
绝命密码站/数字战(台)/解码危机(港) ,The Numbers Station ,2013 ,"英国,美国,比利时 ",动作 / 惊悚 ,英语 ,中英双字幕 ,2013-04-26(美国) ,"5.5/10 from 2,796 users ",1920 x 1080 ,1.62 GB ,89分钟 ,卡斯珀·巴福德 Kasper Barfoed ,ftp://ygdy8:ygdy8@yg90.dydytt.net:6012/阳光电影www.ygdy8.com.绝命密码站.BD.1080p.中英双字幕.mkv
分手前要做的十件事 ,10 Things We Should Do Before We Break Up ,2019 ,美国 ,剧情/爱情 ,英语 ,中英双字幕 ,2020-02-28(日本) ,5.7/10 from 199 users ,1920 x 1080 ,1.36 GB ,74分钟 ,Galt Niederhoffer ,ftp://ygdy8:ygdy8@yg39.dydytt.net:3018/阳光电影www.ygdy8.com.分手前要做的十件事.BD.1080p.中英双字幕.mkv
 ,鬼吹灯之龙岭迷窟 ,2020 ,中国大陆 ,动作 / 奇幻 / 冒险 ,普通话 ,中文 ,2020-04-02(中国大陆) ,5.7/10 from 199 users ,1920 x 816 ,1.58 GB ,95分钟 ,朴成淑 ,ftp://ygdy8:ygdy8@yg18.dydytt.net:8014/阳光电影www.ygdy8.com.鬼吹灯之龙岭迷窟.HD.1080p.国语中字.mp4
Killer Bee Invasion ,杀人蜂入侵 ,2020 ,中国大陆 ,动作 / 科幻 / 悬疑 ,普通话 ,中文 ,2020-04-01(中国大陆) ,5.7/10 from 199 users ,3840 x 1636 ,2.08 GB ,77分钟 ,靳浩 / 刘松 / 许亮 Liang Xu ,ftp://ygdy8:ygdy8@yg18.dydytt.net:8014/阳光电影www.ygdy8.com.鬼吹灯之龙岭迷窟.HD.1080p.国语中字.mp4
深海异兽 / 水下 / 深海终劫站(台) ,Underwater ,2020 ,美国 ,惊悚 / 恐怖 ,英语 ,中英双字幕 ,2020-01-10(美国) ,5.9/10 from 4506 users ,1920 x 1080 ,1.67 GB ,95分钟 ,威廉·尤班克 William Eubank ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3022/阳光电影www.ygdy8.com.深海异兽.BD.1080p.中英双字幕.mkv
Pegasus ,飞驰人生 ,2019 ,中国 ,喜剧 ,普通话 ,中文 ,2019-02-05(中国) ,7.0/10 from 405016 users ,1920 x 1080 ,1.84 GB ,98分钟 ,郑芬芬 Fenfen Cheng ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8064/阳光电影www.ygdy8.com.飞驰人生.BD.1080p.国语中字.mkv
百万碎片 ,A Million Little Pieces ,2018 ,美国 ,剧情 ,英语 ,中英双字幕 ,2019-08-30(英国) / 2019-12-06(美国) ,5.9/10 from 251 users ,1920 x 1080 ,1.84 GB ,113分钟 ,萨姆·泰勒·约翰逊 Sam Taylor-Johnson ,ftp://ygdy8:ygdy8@yg39.dydytt.net:7012/阳光电影www.ygdy8.com.百万碎片.BD.1080p.中英双字幕.mkv
回归之路/归来之路/归途/托兰斯教练 ,The Way Back/The Has-Been/Torrance ,2020 ,美国 ,剧情/运动 ,英语 ,中英双字幕 ,2020-03-06(美国) ,6.7/10 from 1557 users ,1920 x 1080 ,1.95 GB ,108分钟 ,加文·欧康诺 Gavin O'Connor ,ftp://ygdy8:ygdy8@yg39.dydytt.net:3017/阳光电影www.ygdy8.com.回归之路.BD.1080p.中英双字幕.mkv
秘密动物园/不会伤害你/不伤害/兽头救兵(港)/没有伤害/超“人”气动物园(台) ,Secret Zoo ,2020 ,韩国 ,喜剧 ,韩语 ,中文 ,2020-01-15(韩国) ,6.5/10 from 10494 users ,1920 x 1080 ,2.08 GB ,117分钟 ,孙在坤 Jae-gon Son ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4018/阳光电影www.ygdy8.com.秘密动物园.BD.1080p.韩语中字.mkv
野性的呼唤/极地守护犬(港/台)/绝境长征/荒野的呼唤 ,The Call of the Wild ,2020 ,"美国,加拿大 ",剧情 / 冒险 ,"英语,法语 ",中英双字幕 ,2020-02-21(美国) / 2020(中国大陆) ,"7.1/10 from 2,400 users ",1920 x 1080 ,1.83 GB ,110分钟 ,克里斯·桑德斯 Chris Sanders ,ftp://ygdy8:ygdy8@yg39.dydytt.net:8012/阳光电影www.ygdy8.com.野性的呼唤.BD.1080p.中英双字幕.mkv
宝贝男孩/乖儿子/宝贝童年(港)/我的宝贝男孩(台) ,Honey Boy/Stamen ,2019 ,美国 ,剧情 ,英语 ,中英双字幕 ,2019-01-25(圣丹斯电影节) / 2019-11-27(美国) ,"7.3/10 from 1,758 users ",1920 x 1080 ,1.66 GB ,93分钟 ,阿尔玛·哈勒 Alma Har'el ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3021/阳光电影www.ygdy8.com.宝贝男孩.BD.1080p.中英双字幕.mkv
The Climbers ,攀登者 ,2019 ,中国 ,剧情/冒险 ,"普通话,藏语 ",中英双字幕 ,2019-09-30(中国) ,"6.3/10 from 163,864 users ",1920 x 1080 ,2.13 GB ,125分钟 ,李仁港 Daniel Lee ,ftp://ygdy8:ygdy8@yg90.dydytt.net:7064/阳光电影www.ygdy8.com.攀登者.BD.1080p.国语中英双字.mkv
Fatal Journey ,陈情令之乱魄/陈情令番外电影 ,2020 ,中国大陆 ,奇幻 / 古装 ,普通话 ,中英双字幕 ,2020-03-26(中国大陆) ,"5.8/10 from 15,373 users ",1920 x 1080 ,1.89 GB ,82分钟 ,裘仲维 Zhongwei Qiu ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4017/阳光电影www.ygdy8.com.陈情令之乱魄.HD.1080p.国语中英双字.mkv
井下9人/生命一小时 ,Mine 9 ,2019 ,美国 ,剧情 ,英语 ,中英双字幕 ,2019-03-08(美国) ,5.7/10 from 234 users ,1920 x 1080 ,1.56 GB ,83分钟 ,Eddie Mensore ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4022/阳光电影www.ygdy8.com.井下9人.BD.1080p.中英双字幕.mkv
绝地战警：疾速追击/绝地战警3/绝地战警FOR LIFE(台)/重案梦幻再重组(港) ,Bad Boys for Life/Bad Boys 3 ,2020 ,美国 ,喜剧 / 动作 / 犯罪 ,英语 ,中英双字幕 ,2020(中国大陆) / 2020-01-17(美国) ,"6.3/10 from 7,302 users ",1920 x 1080 ,2 GB ,124分钟 ,阿迪尔·埃尔·阿比 Adil El Arbi ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3020/阳光电影www.ygdy8.com.绝地战警：疾速追击.HD.1080p.中英双字幕.mkv
小妇人/她们(台) ,Little Women ,2019 ,美国 ,剧情/爱情 ,英语 ,中英双字幕 ,2019-12-25(美国) / 2020(中国大陆) ,"8.2/10 from 93,330 users ",1920 x 1080 ,2.2 GB ,135分钟 ,格蕾塔·葛韦格 Greta Gerwig ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3019/阳光电影www.ygdy8.com.小妇人.BD.1080p.中英双字幕.mkv
